marks,rating,role_encoded,department_encoded,competencyLevel_encoded,skill_name_encoded,course_name_encoded,employee_id,assessment_id
96,4,2,6,2,7,4,20112,394
60,3,2,5,2,11,11,11625,395
100,1,0,2,2,2,13,24989,396
71,1,3,8,1,1,13,48040,397
69,2,0,8,1,4,1,3322,398
83,5,3,8,0,14,8,15785,399
85,2,0,9,2,14,14,7847,400
95,1,3,9,1,9,4,6240,401
81,2,0,1,2,11,14,45705,402
52,1,1,3,0,6,7,27950,403
81,2,2,6,2,9,12,31833,404
51,5,2,2,2,12,0,33366,405
92,4,2,4,2,7,4,21937,406
55,5,0,4,0,3,2,39226,407
61,5,1,5,2,9,8,42335,408
78,2,1,4,2,3,8,45198,409
68,2,3,5,0,7,7,48281,410
96,3,3,5,2,14,5,19211,411
75,2,0,6,0,3,7,7111,412
56,3,2,7,2,5,14,15159,413
59,2,2,9,0,1,1,22198,414
80,5,0,1,2,14,0,37799,415
56,5,1,0,2,5,14,33693,416
66,2,1,2,1,8,3,41928,417
71,4,1,1,0,12,10,22004,418
86,4,2,7,2,6,4,47120,419
64,1,3,7,1,6,10,8140,420
84,3,2,5,0,6,10,48690,421
85,4,3,9,0,11,9,31837,422
76,1,2,3,1,3,4,34969,423
78,3,3,4,0,1,2,23876,424
73,4,2,0,0,5,12,48408,425
59,2,3,1,2,10,3,39133,426
88,4,3,7,1,13,11,47846,427
88,2,0,6,1,4,1,45704,428
81,5,2,0,1,5,5,34132,429
68,1,1,1,1,10,4,6909,430
69,3,2,5,0,13,5,19329,431
54,1,1,4,2,6,13,25735,432
53,1,2,5,1,14,14,22963,433
64,3,1,0,0,4,0,18971,434
58,4,2,6,0,14,5,13840,435
50,3,0,0,0,14,11,49613,436
93,4,3,2,1,7,2,48469,437
71,3,2,4,0,0,2,32867,438
74,2,0,6,2,0,10,3429,439
50,5,0,9,2,9,6,46496,440
71,5,0,8,0,14,11,34977,441
82,4,1,9,0,10,9,28623,442
59,2,0,7,0,14,6,40941,443
75,2,1,2,0,14,7,23809,444
92,1,3,9,1,13,3,7218,445
96,1,3,1,0,5,10,37483,446
59,3,3,0,0,11,5,35933,447
67,1,1,1,2,12,10,12000,448
76,5,3,5,0,4,13,28893,449
74,5,3,6,2,14,10,41686,450
87,4,2,6,1,9,4,26570,451
88,5,1,2,2,11,13,6202,452
94,1,0,8,1,14,8,17012,453
54,4,2,4,1,7,10,4193,454
72,2,0,1,0,1,0,35425,455
59,5,1,8,0,0,13,29609,456
55,4,1,5,0,10,10,14701,457
88,2,2,6,0,7,9,44380,458
66,1,0,2,2,5,10,15842,459
66,3,2,8,2,0,5,42925,460
54,5,2,8,1,5,3,47007,461
53,5,0,3,0,4,4,4989,462
50,4,2,1,0,13,4,8824,463
87,3,1,9,0,0,1,8123,464
81,2,2,6,2,14,13,16107,465
77,2,3,0,0,13,6,4906,466
88,4,2,8,2,2,9,5648,467
53,4,2,8,2,6,14,40472,468
55,3,0,3,0,11,1,16575,469
52,1,1,6,2,4,10,23715,470
92,5,2,0,2,3,8,23321,471
85,2,1,5,2,13,12,25790,472
60,3,3,1,2,8,5,33649,473
60,4,1,5,2,6,6,8706,474
65,3,2,8,1,6,7,6356,475
50,3,1,4,0,0,2,1260,476
59,4,0,4,0,13,10,10504,477
99,5,3,4,0,7,13,28787,478
84,2,3,7,1,12,3,9714,479
80,4,0,5,2,7,6,45489,480
55,5,1,9,1,3,8,14617,481
98,5,3,8,2,7,8,1890,482
98,5,2,3,1,5,7,26809,483
76,5,3,1,1,12,8,19735,484
85,5,0,5,0,1,7,30584,485
58,1,1,1,1,1,0,16038,486
63,1,2,0,0,12,2,19818,487
100,2,2,3,2,13,2,32789,488
85,2,3,8,2,7,12,9218,489
72,2,3,6,0,8,9,16981,490
70,3,1,3,1,5,1,39792,491
92,5,3,8,0,1,2,22058,492
88,2,0,8,1,8,0,30727,493
51,3,0,1,2,1,9,43583,494
58,2,2,6,1,1,3,28468,495
100,3,3,5,1,2,11,11582,496
79,5,0,3,2,1,14,45221,497
74,1,1,5,1,13,4,22606,498
77,2,0,0,0,7,9,30819,499
99,1,3,4,1,12,13,46095,500
53,2,1,3,0,1,12,48096,501
89,4,3,0,1,2,10,48433,502
62,5,0,8,2,1,6,5675,503
79,2,1,2,2,2,10,4433,504
98,1,3,7,0,2,2,12801,505
97,2,2,3,0,8,0,30362,506
66,4,2,8,1,5,10,4522,507
70,1,3,9,1,6,4,511,508
73,5,2,5,2,8,14,43525,509
90,1,3,7,0,2,10,49917,510
62,1,3,1,1,12,13,26569,511
50,1,3,6,1,13,13,10526,512
55,3,3,8,0,1,3,5437,513
100,5,0,4,1,7,8,35952,514
92,3,1,5,0,1,8,25493,515
69,5,2,5,2,0,10,13609,516
95,4,2,7,0,12,14,36837,517
96,4,1,5,1,6,10,2780,518
75,5,1,3,0,9,5,23495,519
70,3,0,9,2,9,7,17476,520
76,5,3,2,0,5,13,12866,521
53,4,0,6,0,5,5,26645,522
66,4,2,5,0,4,11,13629,523
65,3,2,6,1,13,5,28923,524
88,2,3,9,1,2,13,6861,525
60,1,1,3,0,7,10,2112,526
68,3,1,9,1,2,9,49967,527
78,1,3,3,2,1,13,20818,528
59,2,0,1,2,14,10,35796,529
68,1,3,8,1,1,8,6508,530
69,4,2,1,2,13,9,42785,531
74,1,1,7,0,13,0,21512,532
53,1,1,7,1,9,5,15672,533
71,5,2,3,0,6,8,9737,534
55,4,0,8,1,0,4,29891,535
61,3,0,8,2,9,3,3909,536
75,2,0,6,0,5,6,11006,537
59,3,1,9,0,5,10,3657,538
73,2,3,0,1,7,14,25287,539
57,1,3,1,0,9,7,21151,540
63,5,0,5,0,14,11,11547,541
52,4,0,0,2,1,14,19269,542
75,3,2,2,0,14,4,22563,543
94,5,1,7,1,14,3,17466,544
97,3,0,2,1,3,5,10242,545
68,4,1,7,2,4,13,36744,546
74,2,2,5,0,8,0,6635,547
57,2,1,8,0,13,6,5934,548
65,4,1,3,1,2,4,40589,549
75,1,0,3,2,14,7,19321,550
83,5,1,7,2,2,6,47601,551
78,5,0,5,1,2,5,17061,552
63,2,0,3,0,2,12,15191,553
86,1,3,6,0,6,2,37382,554
73,4,0,0,1,2,10,40458,555
89,4,3,1,0,11,13,4584,556
80,2,3,9,2,7,10,6343,557
67,3,0,8,1,0,5,12973,558
87,4,0,4,1,5,4,13134,559
58,4,3,6,0,3,4,42937,560
54,2,2,7,1,14,1,8984,561
62,1,3,8,1,12,10,31203,562
91,1,2,1,0,7,5,31257,563
58,2,0,2,0,6,9,43299,564
52,4,3,4,2,12,2,27229,565
95,2,1,8,0,13,0,27636,566
58,3,0,5,0,7,1,32730,567
76,3,1,5,1,13,4,24168,568
52,4,0,2,2,13,9,40355,569
67,1,1,8,1,7,10,4860,570
52,1,0,7,1,12,5,12631,571
70,2,3,8,2,14,3,1710,572
50,5,2,2,2,12,5,37311,573
98,3,2,7,0,0,10,16929,574
65,2,0,0,1,7,2,17583,575
93,5,0,2,0,11,8,6224,576
59,2,1,6,2,11,7,7664,577
99,3,1,0,0,13,4,48782,578
76,1,0,3,2,9,7,47238,579
98,4,0,6,1,8,4,29247,580
50,4,0,1,2,4,11,48590,581
60,5,3,3,0,7,8,45506,582
97,2,3,5,0,2,1,24319,583
50,5,0,3,2,10,14,15699,584
75,2,1,2,2,10,3,7726,585
63,1,2,6,1,1,10,31833,586
90,5,0,7,2,4,0,8578,587
86,4,2,4,0,2,14,15184,588
80,2,3,6,0,6,13,23248,589
61,1,3,3,1,2,6,19794,590
56,1,3,6,2,5,13,27702,591
51,2,2,1,0,0,9,33078,592
51,1,1,2,0,3,7,6724,593
95,5,0,4,0,13,11,17506,594
91,3,2,9,1,1,9,5205,595
84,2,1,2,2,7,10,16214,596
63,2,2,3,2,1,10,48707,597
76,5,3,6,0,1,10,26902,598
93,4,1,1,2,0,2,13453,599
79,3,0,9,1,8,4,14569,600
82,4,1,3,1,11,4,5308,601
66,3,1,8,0,6,2,10712,602
95,3,0,0,2,5,7,25050,603
56,1,1,2,2,9,4,38409,604
97,5,1,5,2,11,8,11592,605
52,1,0,4,0,5,10,12306,606
67,3,0,5,2,9,0,18247,607
82,2,3,2,2,13,9,32427,608
77,2,0,4,2,8,3,24745,609
67,1,0,0,2,3,13,251,610
97,4,3,6,0,5,12,29127,611
60,4,0,4,0,9,13,22669,612
55,4,0,0,1,12,4,667,613
68,2,0,4,0,14,6,32033,614
95,5,2,5,2,7,13,34382,615
78,2,2,0,0,5,12,21669,616
81,1,1,2,0,10,10,2940,617
82,5,2,3,2,5,7,40608,618
99,5,3,5,1,13,8,35865,619
100,2,3,3,0,6,3,17925,620
67,4,3,2,1,5,10,18708,621
66,5,0,4,0,0,13,36775,622
77,1,0,0,1,12,13,19045,623
86,2,2,4,2,4,3,42622,624
63,1,0,5,1,14,10,15246,625
75,2,3,2,1,14,1,19913,626
85,1,3,5,2,1,13,7086,627
61,2,0,9,0,14,3,32233,628
98,2,1,8,2,0,8,49172,629
61,4,1,4,2,6,4,43094,630
75,2,1,1,2,12,5,10080,631
84,2,0,4,2,4,7,44319,632
69,4,0,5,2,7,3,5630,633
100,4,2,9,2,11,3,6087,634
58,5,3,4,2,6,0,45327,635
53,4,3,6,2,6,6,42937,636
72,5,1,9,2,11,0,21055,637
55,5,2,2,0,5,7,10828,638
70,5,3,8,1,8,5,13952,639
57,4,0,2,1,14,4,40112,640
61,4,0,8,2,7,14,24000,641
88,2,0,6,2,6,5,40386,642
84,1,1,7,1,14,5,38274,643
74,2,1,9,2,12,14,4976,644
74,3,2,2,1,1,8,12148,645
54,3,3,1,0,5,9,18905,646
74,1,2,8,2,0,4,17924,647
94,4,2,7,2,12,9,29375,648
82,2,2,8,2,8,14,36907,649
53,1,1,0,2,5,13,37005,650
87,2,2,4,0,8,12,116,651
69,2,1,3,1,7,13,42768,652
100,1,3,1,2,13,7,13523,653
74,5,3,6,0,0,8,16261,654
52,4,2,6,2,6,14,28932,655
53,1,3,0,1,11,5,24905,656
91,5,3,2,0,6,7,49614,657
98,4,2,8,1,13,4,45996,658
71,2,3,3,1,2,1,23253,659
82,1,3,3,1,1,0,31157,660
61,4,3,8,0,7,9,7605,661
71,2,0,9,2,3,3,11218,662
56,4,3,5,0,5,3,18526,663
88,4,2,4,0,2,4,47977,664
96,3,0,6,0,8,10,24969,665
60,4,1,4,1,8,10,39209,666
67,2,2,1,0,12,12,41047,667
50,4,3,8,2,3,13,33263,668
57,1,3,5,0,8,2,38262,669
71,2,3,8,1,11,14,29064,670
92,2,2,8,0,5,6,1573,671
84,4,3,3,1,7,5,43962,672
79,4,1,5,1,7,10,971,673
84,2,2,1,0,2,1,15829,674
71,1,2,5,1,7,4,23629,675
97,5,3,4,0,11,3,1761,676
94,2,3,9,1,11,2,29209,677
51,3,0,7,0,6,11,4945,678
91,4,2,3,0,6,8,25738,679
83,4,1,1,1,8,2,49468,680
63,3,2,5,0,7,5,10218,681
62,4,0,6,0,14,10,33469,682
55,3,2,7,0,1,2,36892,683
65,3,2,2,2,5,0,40065,684
78,1,1,7,0,2,10,19639,685
95,5,3,0,2,1,6,28128,686
98,5,1,9,0,14,8,11732,687
87,3,2,6,1,3,8,26227,688
91,5,0,8,0,1,7,9469,689
85,5,2,0,0,7,11,4904,690
72,5,1,9,2,3,6,13462,691
52,3,3,0,1,11,11,32654,692
65,4,0,3,1,1,4,44049,693
52,5,0,2,0,11,7,662,694
99,4,2,1,2,2,2,43251,695
54,3,0,7,1,2,1,11432,696
71,3,1,9,0,7,11,43436,697
70,5,3,6,2,11,13,18257,698
88,2,1,3,2,12,2,28868,699
73,4,2,3,0,8,12,46614,700
80,2,1,1,2,11,13,6909,701
54,5,3,5,0,5,7,9423,702
96,1,1,6,1,9,10,8159,703
82,2,1,5,1,5,3,41518,704
86,1,3,6,0,7,6,45858,705
99,3,1,2,2,3,3,288,706
94,4,1,6,0,0,5,33292,707
60,5,3,6,1,6,8,3105,708
91,2,3,0,2,5,11,22602,709
78,2,2,3,2,14,7,47267,710
97,2,3,9,1,0,0,43447,711
92,1,0,4,0,8,2,35458,712
93,2,0,8,2,6,10,28364,713
88,1,2,9,1,13,4,22316,714
51,5,0,8,0,3,7,37390,715
92,5,0,0,2,6,10,1436,716
96,5,3,7,1,7,8,16496,717
58,2,1,0,0,5,13,13938,718
64,2,0,1,0,7,12,6223,719
92,5,3,3,2,12,7,699,720
85,1,2,9,1,4,4,38594,721
84,2,3,1,1,13,1,43859,722
58,2,0,7,1,1,1,48599,723
79,2,0,6,2,0,10,44632,724
85,4,2,5,2,7,6,22360,725
70,3,2,3,1,6,13,38039,726
74,4,0,5,1,13,10,21728,727
50,2,0,9,2,7,5,1977,728
86,4,0,7,0,1,13,8463,729
65,2,1,9,2,12,12,43327,730
90,2,3,1,0,7,6,1021,731
